WWI_ID,MSNDATE,OPERATION,COUNTRY,SERVICE,UNIT,MDS,MISSIONNUM,TAKEOFFTIME,NUMBEROFPLANESATTACKING,CALLSIGN,WEAPONSEXPENDED,WEAPONTYPE,WEAPONWEIGHT,BOMBLOAD,LATITUDE,LONGITUDE,TGTLOCATION,TGTCOUNTRY,TGTTYPE,TAKEOFFBASE,TAKEOFFLATITUDE,TAKEOFFLONGITUDE,BDA,ENEMYACTION,ROUTEDETAILS,ISRCOLLECTED,FRIENDLYCASUALTIES,WEATHER,ALTITUDE,id
1,10/16/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1792,224,49.233333,7,SAARBRUCKEN,GERMANY,BURBACH WORKS-BLAST FUM,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6019
2,10/20/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.266667,6.783333,WADGASSEN & BOUS,GERMANY,FACTORY & RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,1,,10000,6020
3,10/23/1917,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3335,277.9166667,49.233333,7,"SAARBRUCKEN, ETC",GERMANY,"RAILWAY JTN, STN.TRAINS",OCHEY,48.58129185,5.95351696,,,,,2,,10000,6021
4,10/23/1917,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,7,,,,9408,1344,49.233333,7,"SAARBRUCKEN, ETC",GERMANY,BURBACH WORKS,VILLESENEUX,48.78108005,4.1631317,,,,,2,,10000,6022
5,10/28/1917,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,915,305,49.233333,7,SAARBRUCKEN & OTHERS,GERMANY,"RAILWAYS, BRDG,TRAINS",OCHEY,48.58129185,5.95351696,,,,,0,,10000,6023
6,10/29/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2712,226,49.2037161,7.6047455,PIRMASENS,GERMANY,BOOT FACTORY,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6024
8,10/31/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,6,,,,1362,227,49.4446997,7.7690041,KAISERSLAUTERN,GERMANY,MUNITIONS FACTORY,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6026
9,12/4/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2440,221.8181818,49.233333,7,SAARBRUCKEN & ZWEIBRUCKEN,GERMANY,"FACTORY, TOWN, RAIL STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6027
10,12/5/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2406,218.7272727,49.233333,7,SAARBRUCKEN,GERMANY,BURBACH WORKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6028
11,12/10/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1594,227.7142857,49.2037161,7.6047455,PIRMASENS,GERMANY,RAIL JUNCTION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6029
12,12/23/1917,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,10,,,,2252,225.2,49.488333,8.464722,MANNHEIM,GERMANY,"LANZ CO, RAIL JTN, BASF",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6030
13,1/2/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,5,,,,1190,238,49.115461,6.175875,"METZ, MAZIERES, WOIPPY",FRANCE,FURNACES & RAILROADS,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6031
14,1/3/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,8,,,,3020,377.5,49.119666,6.176905,5 SITES W/I 20 NM OF METZ,FRANCE,"RAIL, FACT, FURNACE",OCHEY,48.58129185,5.95351696,,,,,0,,10000,6032
15,1/4/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2260,376.6666667,49.16768,5.848631,CONFLANS & MARS,FRANCE,RAIL JTN & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6033
16,1/4/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.066651,6.308383,COURCELLES,FRANCE,RAIL JUNCTION,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6034
17,1/13/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2752,229.3333333,49.0080848,8.4037563,KARLSRUHE,GERMANY,"MUNITION WORKS, RAILWAYS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6035
18,1/13/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2195,365.8333333,49.356794,6.167606,THIONVILLE,FRANCE,"STEEL WORKS, RAIL JTN",OCHEY,48.58129185,5.95351696,,,,,0,,10000,6036
20,1/20/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,3510,319.0909091,49.356794,6.167606,"THIONVILLE, BEMSDORF, FALKNBG",FRANCE,FACTORIES & RAIL TARGETS,OCHEY,48.58129185,5.95351696,,,,,1,,10000,6038
21,1/20/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.011487,6.030617,ARNAVILLE,FRANCE,RAILWAY,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6039
22,1/23/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2594,259.4,45.538718,4.675828,"TREVES, THIONVILLE, ETC",FRANCE,"TOWNS, STEEL WORKS",OCHEY,48.58129185,5.95351696,,,,,1,,10000,6040
23,1/23/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,2688,1344,49.488333,8.464722,MANNHEIM,GERMANY,BASF,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6041
24,1/26/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1356,193.7142857,45.538718,4.675828,TREVES,FRANCE,BARRACKS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6042
25,2/8/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,962,320.6666667,49.066651,6.308383,COURCELLES,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,1,,10000,6043
26,2/11/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2838,236.5,48.45,7.916667,OFFENBURG,GERMANY,BARRACKS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6044
27,2/15/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,5,,,,1708,341.6,49.1641817,5.872321129,CONFLANS,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6045
28,2/15/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,0,,,,0,0,49.1641817,5.872321129,CONFLANS,FRANCE,RAIL (ABORTED RAID),VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6046
30,2/17/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,2192,365.3333333,49.1641817,5.872321129,CONFLANS,FRANCE,SIDINGS & STATION,OCHEY,48.58129185,5.95351696,,,,,0,,6500,6048
32,2/18/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2176,241.7777778,49.356794,6.167606,THIONVILLE & TREVES,FRANCE,"RAIL SIDINQS, GAS WORKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6050
33,2/18/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2856,285.6,45.538718,4.675828,TREVES & THIONVILLE,FRANCE,"RAIL, STEEL WRKS, BARRACKS",OCHEY,48.58129185,5.95351696,,,,,1,,10000,6051
35,2/19/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2486,226,45.538718,4.675828,TREVES,FRANCE,BARRACKS & RAIL SIN,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000,6053
37,2/19/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,2912,1456,49.356794,6.167606,THIONVILLE,FRANCE,RAIL STN & STEEL WORKS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6055
38,2/20/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1900,237.5,49.2037161,7.6047455,PIRMASENS,GERMANY,RAIL STN & FACTORIES,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6056
39,2/26/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,3144,349.3333333,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6057
40,2/26/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,45.538718,4.675828,TREVES,FRANCE,RAIL STN & BARRACKS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6058
41,3/6/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,1,,,,395,395,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6059
42,3/9/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2532,230.1818182,50,8.271111,MAINZ,GERMANY,"FACTORIES, STATION, BKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6060
43,3/10/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2842,258.3636364,48.766667,9.183333,STUTTGART,GERMANY,"FACTORIES, RAILWAYS. BKS",TANTONVILLE,48.4705028,6.150884,,,,,1,,10000,6061
44,3/12/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2450,272.2222222,50.3566962,7.5996166,COBLENZ,GERMANY,"FACTORIES, STATION BKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6062
45,3/13/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1984,248,47.9971865,7.8537668,FREIBURQ,GERMANY,"MUNIT DUMP, STATION, BKS",TANTONVILLE,48.4705028,6.150884,,,,,3,,10000,6063
46,3/16/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1878,268.2857143,49.25,7.366667,ZWEIBRUCKEN,GERMANY,RAILWAYS & BARRACKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6064
47,3/17/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2585,287.2222222,49.4446997,7.7690041,KAISERSLAUTERN,GERMANY,"FACTORIES, STN, SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6065
48,3/18/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2346,260.6666667,49.488333,8.464722,MANNHEIM,GERMANY,BASF,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6066
49,3/23/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3938,328.1666667,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6067
50,3/23/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,3088,280.7272727,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6068
51,3/23/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1120,1120,49.7,6.583333,CONZ,GERMANY,"SIDINGS, STN, BRIDGES",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000,6069
52,3/24/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,3083,256.9166667,49.481111,8.435278,LUDWIGSHAFEN,GERMANY,BASF,TANTONVILLE,48.4705028,6.150884,,,,,2,,10000,6070
53,3/24/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,14,,,,4773,340.9285714,49.115461,6.175875,METZ & THIONVILLE,FRANCE,METZ-LUXEMBOURG RAILWAY,OCHEY,48.58129185,5.95351696,,,,,0,,10000,6071
55,3/27/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2482,225.6363636,49.115461,6.175875,METZ,FRANCE,RAIL JTN & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6073
56,3/28/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2706,225.5,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAY STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000,6074
57,4/5/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000,6075
